product,thr_ticks,month,bucket,active,hit_rate,mean_ret,total
IC0000,3,ALL,09:30,949,0.5205479452054794,6.061202359745573e-05,0.05752081039398549
IC0000,3,ALL,10:00,956,0.5198744769874477,3.2512861078564215e-05,0.03108229519110739
IC0000,3,ALL,10:30,962,0.49376299376299376,-2.044652345849175e-05,-0.019669555567069064
IC0000,3,ALL,11:00,931,0.5037593984962406,-2.5106820476523582e-06,-0.0023374449863643454
IC0000,3,ALL,13:00,871,0.4833524684270953,-9.00958271077776e-06,-0.00784734654108743
IC0000,3,ALL,13:30,956,0.4581589958158996,-2.5321364082714976e-05,-0.024207224063075516
IC0000,3,ALL,14:00,901,0.49278579356270813,-3.833903043348273e-06,-0.0034543466420567936
IC0000,3,ALL,14:30,872,0.46788990825688076,-1.70759965093845e-05,-0.014890268956183283
IC0000,3,2023-01,09:30,363,0.5068870523415978,3.43025700233421e-05,0.012451832918473182
IC0000,3,2023-01,10:00,370,0.5432432432432432,6.890106135399985e-05,0.025493392700979944
IC0000,3,2023-01,10:30,358,0.4888268156424581,-1.9140380770906782e-05,-0.006852256315984628
IC0000,3,2023-01,11:00,353,0.4985835694050991,2.025311341312432e-06,0.0007149349034832886
IC0000,3,2023-01,13:00,331,0.4561933534743202,-2.4053932261418997e-05,-0.007961851578529688
IC0000,3,2023-01,13:30,359,0.4763231197771588,-2.6433393173143644e-06,-0.0009489588149158568
IC0000,3,2023-01,14:00,334,0.49700598802395207,-7.672715840888713e-08,-2.56268709085683e-05
IC0000,3,2023-01,14:30,333,0.45045045045045046,-2.8923747993698695e-05,-0.009631608081901666
IC0000,3,2023-02,09:30,517,0.5319148936170213,8.42866606763659e-05,0.04357620356968117
IC0000,3,2023-02,10:00,507,0.504930966469428,9.533224477825532e-06,0.004833344810257545
IC0000,3,2023-02,10:30,526,0.49049429657794674,-2.7286383072307127e-05,-0.014352637496033549
IC0000,3,2023-02,11:00,506,0.5118577075098815,1.324700274550205e-06,0.0006702983389224038
IC0000,3,2023-02,13:00,469,0.4968017057569296,1.8964291768419439e-06,0.0008894252839388717
IC0000,3,2023-02,13:30,525,0.4533333333333333,-4.1053390674270916e-05,-0.021553030103992232
IC0000,3,2023-02,14:00,507,0.5029585798816568,3.844848607504066e-06,0.0019493382440045615
IC0000,3,2023-02,14:30,472,0.4745762711864407,-1.3630307183222478e-05,-0.006433504990481009
IC0000,3,2023-03,09:30,69,0.5072463768115942,2.163440443233529e-05,0.0014927739058311351
IC0000,3,2023-03,10:00,79,0.5063291139240507,9.564021264175955e-06,0.0007555576798699004
IC0000,3,2023-03,10:30,78,0.5384615384615384,1.9683823653193766e-05,0.0015353382449491138
IC0000,3,2023-03,11:00,72,0.4722222222222222,-5.170386428847274e-05,-0.0037226782287700377
IC0000,3,2023-03,13:00,71,0.5211267605633803,-1.0914369668966383e-05,-0.0007749202464966132
IC0000,3,2023-03,13:30,72,0.4027777777777778,-2.3683821446769824e-05,-0.0017052351441674274
IC0000,3,2023-03,14:00,60,0.38333333333333336,-8.963430025254645e-05,-0.005378058015152787
IC0000,3,2023-03,14:30,67,0.5074626865671642,1.7534986808946144e-05,0.0011748441161993917
IC0000,5,ALL,09:30,846,0.5189125295508275,6.27321003469697e-05,0.05307135689353637
IC0000,5,ALL,10:00,814,0.5147420147420148,2.7518705285381207e-05,0.022400226102300302
IC0000,5,ALL,10:30,796,0.5,-1.0046280387821295e-05,-0.007996839188705751
IC0000,5,ALL,11:00,764,0.5078534031413613,5.5710604276001225e-06,0.004256290166686494
IC0000,5,ALL,13:00,731,0.493844049247606,2.8302782300676015e-06,0.002068933386179417
IC0000,5,ALL,13:30,805,0.4546583850931677,-2.9699768548809695e-05,-0.023908313681791804
IC0000,5,ALL,14:00,763,0.4927916120576671,-5.189877819326865e-06,-0.003959876776146398
IC0000,5,ALL,14:30,698,0.46275071633237824,-2.0398166951964938e-05,-0.014237920532471526
IC0000,5,2023-01,09:30,317,0.501577287066246,2.706621865039893e-05,0.00857999131217646
IC0000,5,2023-01,10:00,300,0.5366666666666666,6.527427379281692e-05,0.019582282137845075
IC0000,5,2023-01,10:30,282,0.48226950354609927,-1.0002774104467576e-05,-0.002820782297459856
IC0000,5,2023-01,11:00,276,0.5108695652173914,2.0685671326031558e-05,0.00570924528598471
IC0000,5,2023-01,13:00,275,0.45454545454545453,-2.3475800846320846e-05,-0.006455845232738233
