code,year,n,k_ticks,k_pts,s_sum,s_ss,s_n,hits
IH0000,2022,5,6,1.2,287.5999999975684,140914.38500000053,104937,53000
IH0000,2022,5,8,1.6,-480.1000000008107,66783.60000000036,31956,16476
IH0000,2022,5,13,2.6,-161.95000000005757,16174.087499999983,2941,1552
IH0000,2022,5,20,4.0,-129.1500000000001,3675.582500000021,271,151
IH0000,2022,5,30,6.0,-75.349999999999,1345.3824999999847,33,22
IH0000,2022,10,0,0.0,92257.19999997865,1994439.0000000177,5159612,2188376
IH0000,2022,10,2,0.4,59044.499999956504,1198678.0550000076,2342904,1088000
IH0000,2022,10,4,0.8,26964.44999998439,625908.4925000032,925107,436264
IH0000,2022,10,6,1.2,10492.299999993626,309108.1500000006,325331,156103
IH0000,2022,10,8,1.6,4449.899999997268,167215.85000000047,127182,61516
IH0000,2022,10,13,2.6,314.5499999996491,47529.21750000018,16407,8213
IH0000,2022,10,20,4.0,144.04999999997972,13087.887500000035,1792,860
IH0000,2022,10,30,6.0,1.549999999998363,3582.9525000000167,178,82
IH0000,2022,20,0,0.0,86406.69999998364,2025139.3000000191,5154772,2239468
IH0000,2022,20,2,0.4,68210.94999996116,1445400.267500009,3058578,1406880
IH0000,2022,20,4,0.8,42991.949999980236,935341.742500006,1640416,760434
IH0000,2022,20,6,1.2,23147.04999998913,568568.5325000031,788667,369401
IH0000,2022,20,8,1.6,11962.549999993487,359531.85750000126,397916,187918
IH0000,2022,20,13,2.6,4612.0499999988315,125273.90750000029,77271,36582
IH0000,2022,20,20,4.0,1827.6499999998964,38437.78750000004,10831,4923
IH0000,2022,20,30,6.0,720.399999999991,12791.65500000002,1378,554
IH0000,2022,30,0,0.0,69769.79999998618,2032356.990000016,5149932,2261454
IH0000,2022,30,2,0.4,59721.34999996575,1560260.2375000105,3419304,1568660
IH0000,2022,30,4,0.8,41508.6999999797,1110079.4150000077,2100694,968779
IH0000,2022,30,6,1.2,23946.849999986985,744595.9825000046,1173114,546135
IH0000,2022,30,8,1.6,13798.249999991167,510683.66250000324,672231,315512
IH0000,2022,30,13,2.6,6475.849999997656,206423.38750000083,167310,78757
IH0000,2022,30,20,4.0,4003.0499999998024,69847.50749999999,28822,12888
