code,year,month,S,sum,sumsq,n
IM0000,2022,10,30,483.2999999999738,156368.3300000001,3724
IM0000,2022,10,40,507.1999999999716,168503.6999999992,3724
IM0000,2022,10,50,525.8999999999733,176748.2499999988,3724
IC0000,2022,11,0,11.500000000020009,76804.74999999841,5102
IC0000,2022,11,10,-89.19999999997708,78840.53999999841,5102
IC0000,2022,11,20,-24.59999999999036,77052.95999999902,5102
IC0000,2022,11,30,-172.20000000001437,80908.39999999882,5102
IC0000,2022,11,40,-84.2000000000562,81932.01999999897,5102
IC0000,2022,11,50,-9.599999999996726,80895.31999999884,5102
IF0000,2022,11,0,-247.90000000001373,33275.049999999384,5085
IF0000,2022,11,10,-227.0999999999758,31695.029999999453,5085
IF0000,2022,11,20,-174.8000000000102,32379.21999999917,5085
IF0000,2022,11,30,-314.99999999998363,33384.27999999923,5085
IF0000,2022,11,40,-152.5999999999708,34007.67999999943,5085
IF0000,2022,11,50,-134.099999999984,34119.90999999943,5085
IH0000,2022,11,0,-345.29999999999836,18638.149999999794,5056
IH0000,2022,11,10,-273.30000000000337,17852.329999999703,5056
IH0000,2022,11,20,-149.4999999999809,18263.909999999818,5056
IH0000,2022,11,30,-168.89999999998054,18614.929999999687,5056
IH0000,2022,11,40,-99.90000000004784,18714.52999999977,5056
IH0000,2022,11,50,-43.39999999999418,19058.93999999986,5056
IM0000,2022,11,0,272.200000000018,119301.95999999759,5097
IM0000,2022,11,10,444.40000000000236,117216.95999999813,5097
IM0000,2022,11,20,273.900000000016,113613.02999999834,5097
IM0000,2022,11,30,122.09999999998581,120300.98999999848,5097
IM0000,2022,11,40,86.30000000009022,123818.42999999791,5097
IM0000,2022,11,50,63.09999999997399,120443.0499999976,5097
IC0000,2022,12,0,3.300000000000182,43169.549999999064,5066
IC0000,2022,12,10,-35.500000000047294,46120.58999999948,5066
IC0000,2022,12,20,367.49999999998727,45813.04999999919,5066
IC0000,2022,12,30,398.8000000000102,44392.37999999921,5066
IC0000,2022,12,40,467.7000000000071,44479.16999999904,5066
IC0000,2022,12,50,477.4000000000151,42622.299999999464,5066
IF0000,2022,12,0,41.099999999994,17333.90999999981,5042
