code,year,month,F,X,sum,sumsq,n
IF0000,2025,10,30,240,0.0,0.0,0
IF0000,2025,10,40,60,186.90000000004693,19202.889999999832,3968
IF0000,2025,10,40,80,93.10000000003402,24019.389999999825,3968
IF0000,2025,10,40,100,150.30000000008386,28846.009999999726,3967
IF0000,2025,10,40,110,163.40000000005875,31352.579999999736,3964
IF0000,2025,10,40,120,64.00000000001364,35658.759999999675,3943
IF0000,2025,10,40,140,-56.79999999996744,42648.6999999996,3937
IF0000,2025,10,40,160,6.70000000003165,48330.64999999954,3937
IF0000,2025,10,40,180,-42.69999999992706,52109.349999999904,3915
IF0000,2025,10,40,200,-43.49999999992451,55127.6500000002,3730
IF0000,2025,10,40,220,232.2000000000371,51936.06000000005,2837
IF0000,2025,10,40,240,0.0,0.0,0
IF0000,2025,10,50,60,-101.09999999997308,18800.409999999632,3968
IF0000,2025,10,50,80,-194.899999999986,23306.42999999962,3968
IF0000,2025,10,50,100,-135.69999999993615,27860.369999999733,3967
IF0000,2025,10,50,110,-124.99999999996271,30043.41999999961,3964
IF0000,2025,10,50,120,-219.80000000001473,34158.87999999965,3943
IF0000,2025,10,50,140,-338.39999999999327,41378.37999999948,3937
IF0000,2025,10,50,160,-274.8999999999942,47321.609999999135,3937
IF0000,2025,10,50,180,-318.09999999995216,50909.82999999928,3915
IF0000,2025,10,50,200,-324.4999999999591,53871.64999999888,3730
IF0000,2025,10,50,220,-68.59999999998399,50863.93999999964,2837
IF0000,2025,10,50,240,0.0,0.0,0
IF0000,2025,10,60,60,-96.49999999998363,19043.210000000217,3968
IF0000,2025,10,60,80,-190.29999999999654,23066.910000000982,3968
IF0000,2025,10,60,100,-129.89999999994598,27726.69000000133,3967
IF0000,2025,10,60,110,-120.79999999997108,29649.420000000777,3964
IF0000,2025,10,60,120,-210.60000000001764,33875.760000000824,3943
IF0000,2025,10,60,140,-325.9999999999991,41468.86000000073,3937
IF0000,2025,10,60,160,-262.5,47630.01000000063,3937
IF0000,2025,10,60,180,-313.8999999999587,51214.9500000007,3915
IF0000,2025,10,60,200,-325.6999999999689,54076.77000000056,3730
IF0000,2025,10,60,220,-114.80000000003383,51305.78000000087,2837
IF0000,2025,10,60,240,0.0,0.0,0
IF0000,2025,10,70,60,1.5000000000673026,28184.289999999986,3968
IF0000,2025,10,70,80,-92.29999999994561,23390.2700000003,3968
IF0000,2025,10,70,100,-31.29999999989468,27389.690000000268,3967
IF0000,2025,10,70,110,-23.799999999918327,28987.89999999986,3964
IF0000,2025,10,70,120,-107.79999999996562,32732.47999999982,3943
IF0000,2025,10,70,140,-221.79999999994743,40184.57999999982,3937
IF0000,2025,10,70,160,-158.29999999994834,46525.12999999974,3937
IF0000,2025,10,70,180,-211.09999999991396,50361.83000000008,3915
IF0000,2025,10,70,200,-236.69999999992524,53099.16999999981,3730
IF0000,2025,10,70,220,-48.19999999997708,50085.10000000013,2837
IF0000,2025,10,70,240,0.0,0.0,0
IH0000,2025,10,30,60,118.00000000005821,6649.640000000088,3901
IH0000,2025,10,30,80,68.20000000007758,8680.100000000124,3901
IH0000,2025,10,30,100,137.10000000004766,10790.830000000098,3894
IH0000,2025,10,30,110,108.30000000006112,12006.390000000032,3889
IH0000,2025,10,30,120,120.10000000007449,13315.410000000087,3872
IH0000,2025,10,30,140,52.800000000058844,15201.319999999976,3830
IH0000,2025,10,30,160,51.600000000070395,16297.419999999896,3614
IH0000,2025,10,30,180,92.10000000005084,16068.889999999947,3073
IH0000,2025,10,30,200,109.90000000002055,13755.75000000008,2140
IH0000,2025,10,30,220,32.70000000001937,8722.370000000023,950
IH0000,2025,10,30,240,0.0,0.0,0
IH0000,2025,10,40,60,74.40000000000055,6465.400000000118,3901
IH0000,2025,10,40,80,24.600000000019918,8454.340000000135,3901
IH0000,2025,10,40,100,89.29999999999018,10615.51000000016,3894
IH0000,2025,10,40,110,60.30000000000473,11772.190000000184,3889
IH0000,2025,10,40,120,71.10000000001628,13095.25000000019,3872
IH0000,2025,10,40,140,7.3999999999955435,14934.920000000087,3830
IH0000,2025,10,40,160,-12.799999999995634,16048.05999999997,3614
IH0000,2025,10,40,180,23.500000000004093,15883.090000000026,3073
